00:44:45 [4999ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [4999ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [4999ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [4999ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [4999ms] frame_data_operations[28]| DEBUG: Splitting Invuln. (Full) (Frame 1) on comma and removing spaces
00:44:45 [4999ms] frame_data_operations[23]| DEBUG: Removing spaces from Invuln. (Full) (Frame 1)
00:44:45 [4999ms] frame_data_operations[28]| DEBUG: Splitting Invuln. (Full) (Frame 1) on comma and removing spaces
00:44:45 [4999ms] frame_data_operations[23]| DEBUG: Removing spaces from Invuln. (Full) (Frame 1)
00:44:45 [5000ms] frame_data_operations[28]| DEBUG: Splitting Invuln. (Full) (Frame 1) on comma and removing spaces
00:44:45 [5000ms] frame_data_operations[23]| DEBUG: Removing spaces from Invuln. (Full) (Frame 1)
00:44:45 [5000ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5000ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5000ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5000ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5000ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5000ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5001ms] frame_data_operations[28]| DEBUG: Splitting Projectile, Invuln. (Full) (Frames 9-15) on comma and removing spaces
00:44:45 [5001ms] frame_data_operations[23]| DEBUG: Removing spaces from Projectile, Invuln. (Full) (Frames 9-15)
00:44:45 [5001ms] frame_data_operations[28]| DEBUG: Splitting Projectile, Invuln. (Full) (Frames 9-15) on comma and removing spaces
00:44:45 [5001ms] frame_data_operations[23]| DEBUG: Removing spaces from Projectile, Invuln. (Full) (Frames 9-15)
00:44:45 [5001ms] frame_data_operations[28]| DEBUG: Splitting Invuln. (Full) (Frames 1-17) on comma and removing spaces
00:44:45 [5001ms] frame_data_operations[23]| DEBUG: Removing spaces from Invuln. (Full) (Frames 1-17)
00:44:45 [5001ms] frame_data_operations[28]| DEBUG: Splitting Invuln. (Full) (Frame 12) on comma and removing spaces
00:44:45 [5002ms] frame_data_operations[23]| DEBUG: Removing spaces from Invuln. (Full) (Frame 12)
